"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id"
100687,4,12.65,"{1,4593,2,4588}",,refinancing,{secondary},{house},noProgram,36,420,{noConfirmation},600000,30000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100687
100688,4,12.65,{},regions,refinancing,{secondary},{house},noProgram,36,420,{noConfirmation},300000,15000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100688
100689,4,13.55,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},noProgram,36,420,{confirmation},600000,30000000,25.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100689
100197,5,14.80,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",500000,30000000,40.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100197
100198,5,14.80,{},regions,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",500000,10000000,40.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100198
100199,5,11.80,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},noProgram,36,360,{confirmation},500000,30000000,15.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100199
100200,5,11.80,{},regions,mortgage,{houseBuilding},{house},noProgram,36,360,{confirmation},500000,10000000,15.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100200
100201,5,11.80,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},noProgram,36,360,{noConfirmation},500000,30000000,20.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100201
100202,5,11.80,{},regions,mortgage,{houseBuilding},{house},noProgram,36,360,{noConfirmation},500000,10000000,20.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100202
100203,5,11.80,{1},,mortgage,{newBuilding},{carPlace},noProgram,36,360,{confirmation},300000,5000000,15.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100203
